TR2100000323T,Mercedes,E 180 EditionE,2016,129171 km,462.000 TL
TR2100009231T,Mercedes,C 180 AMG,2016,86285 km,419.000 TL
TR2100009331T,Mercedes,E 180 FL Elite,2015,92045 km,430.000 TL
TR2100009504T,Mercedes,C 180 AMG,2018,74683 km,478.000 TL
TR2100005610T,Mercedes,C 180 AMG,2016,68679 km,430.000 TL
